roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,with_milk,acidity
"Nashua, New Hampshire","Lintong growing region, Sumatra, Indonesia",Medium-Light,54/72,$17.99/12 ounces,February 2022,9,8,8,9,8,NA,NA
"Nashua, New Hampshire","Marcala, La Paz Department, Honduras",Medium-Light,54/72,$15.99/12 ounces,February 2022,8,9,8,9,8,NA,NA
"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,$19.00/12 ounces,February 2022,9,9,9,9,8,NA,NA
"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",Medium-Light,58/76,$36.00/8 ounces,February 2022,9,9,9,9,8,NA,NA
"Tainan City, Taiwan","Boquete growing region, Panama",Medium-Light,60/78,NT $470/225 grams,February 2022,9,9,9,9,8,NA,NA
"Tainan City, Taiwan","Konga Village, Gedeo Zone, Ethiopia",Medium-Light,58/78,NT $370/225 grams,February 2022,9,9,8,9,8,NA,NA
"Taipei, Taiwan","New Oriente growing region, Guatemala",Medium-Light,56/76,NT $380/8 ounces,February 2022,9,NA,8,9,8,9,NA
"Taoyuan, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/76,NT $450/8 ounces,February 2022,9,9,8,9,8,NA,NA
"Taoyuan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,58/76,NT $450/8 ounces,February 2022,9,8,9,9,8,NA,NA
"Taoyuan, Taiwan",Ethiopia; Brazil; India; Indonesia; Guatemala,Medium-Light,55/73,NT $250/8 ounces,February 2022,8,NA,8,8,8,9,NA
"Tainan City, Taiwan","Aceh Province, Sumatra, Indonesia",Medium-Light,54/72,NT $370/225 grams,February 2022,9,8,9,9,8,NA,NA
"Taoyuan, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,62/84,NT $300/8 ounces,February 2022,8,8,8,9,8,NA,NA
"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/76,$49.95/8 ounces,February 2022,9,9,9,9,9,NA,NA
"Floyd, Virginia","Cantón El Tunel, La Palma, Chalatenango, El Salvador",Medium-Light,60/78,$24.99/12 ounces,February 2022,9,9,9,9,9,NA,NA
"Floyd, Virginia",Apaneca Ilamatepec mountain range,Medium-Light,58/78,$18.99/12 ounces,February 2022,9,9,9,9,8,NA,NA
