names,brand,score,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,aroma,acidity_structure,body,flavor,aftertaste,review_text,url,with_milk,acidity
Jackrabbit Java,Zambia Mafinga Hills Natural,92,"Thermopolis, Wyoming","Northern Province, Zambia",Medium-Light,58/74,$14.00/12 ounces,June 2022,9,8,8,9,8," Jackrabbit Java  -  Blind Assessment: Gently sweet-tart, fruit-toned. Goji berry, amber, grapefruit zest, agave syrup, cedar in aroma and cup. Crisply sweet structure with tart-leaning acidity; full, satiny mouthfeel. The finish leads with notes of sweet goji berry, backed up by perfumy amber notes.  -  Notes: Produced at Zambia’s Ngoli estate and processed by the natural method (dried in the whole fruit); Rainforest Alliance-certified. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.   -  The Bottom Line: An interesting, rare natural-processed Zambia coffee, worth seeking out for its unique cup profile and leading notes of dried fruit and resinous amber.  - ",https://www.coffeereview.com/review/zambia-mafinga-hills-natural/,NA,NA
Jackrabbit Java,Mexico Altura Natural Water Process Decaf,91,"Thermopolis, Wyoming","Chiapas, Mexico",Medium-Light,57/74,$14.00/12 ounces,June 2022,8,8,9,9,7," Jackrabbit Java  -  Blind Assessment: Crisply chocolaty, deep-toned. Baking chocolate, almond, lily, candy apple, fir in aroma and cup. Sweet structure with gently round acidity; full, crisply syrupy mouthfeel. Gently drying, quite chocolaty finish.  -  Notes: This coffee was sourced by the importer Royal Coffee and decaffeinated at the Descamex plant in Mexico by a water-only process that does not involve use of solvents. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.   -  The Bottom Line: A solid decaffeinated Mexico coffee, processed without harsh solvents, that preserves pleasing chocolate and florals in the cup.  - ",https://www.coffeereview.com/review/mexico-altura-natural-water-process-decaf/,NA,NA
Coffee Hound,Area Code 207,90,"Brewer, Maine",Sumatra; Colombia,Medium,44/60,$13.99/12 ounces,June 2022,9,8,8,8,7," Coffee Hound  -  Blind Assessment: Chocolaty and nut-toned. Chocolate fudge, raisin, gently scorched cedar, gardenia, grapefruit zest in aroma and cup. Bittersweet structure with round acidity; lightly syrupy mouthfeel. Gently drying, wood-framed finish.   -  Notes: A blend of coffees from Sumatra and Colombia. Coffee Hound is a women-owned small business in Maine that offers both retail and wholesale specialty coffee. Visit www.coffeehoundcoffeeco.com.  -  The Bottom Line: A sweet-toned darker-roasted blend with notes of dark chocolate and spicy florals, complicated by hints of gently scorched, smoky cedar.  - ",https://www.coffeereview.com/review/area-code-207/,NA,NA
Kakalove Cafe,Kenya Washed Kiambu Uklili AB Espresso,96,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,54/72,NT $400/8 ounces,June 2022,9,NA,9,9,9," Kakalove Cafe  -  Blind Assessment: Evaluated as espresso. Richly sweet-tart, high-toned, deeply aromatic. Dried pomegranate, honeysuckle, dark chocolate, amber, pink grapefruit zest in aroma and small cup. Plush, voluptuous mouthfeel; resonant, flavor-laden finish. Superb in cappuccino-scaled milk: chocolaty and floral-toned.  -  Notes: Produced at Ukili Farm from the admired SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.  -  The Bottom Line: Integrated, balanced, deeply rich, this single-origin Kenya espresso is juicy and bright in the straight shot while impressively chocolaty and floral in milk.  - ",https://www.coffeereview.com/review/kenya-washed-kiambu-uklili-ab-espresso/,10,NA
JBC Coffee Roasters,Karatina Kenya,95,"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,58/76,$23.00/12 ounces,June 2022,9,9,9,9,9," JBC Coffee Roasters  -  Blind Assessment: Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral.  -  Notes: Produced by smallholding farmers, from trees of the SL28, SL34, Batian and Ruiru varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.  -  The Bottom Line: An elegantly powerful, classically composed Kenya cup with rich aromatics and a range of lively fruit, flowers and chocolate on the palate.  - ",https://www.coffeereview.com/review/karatina-kenya-2/,NA,NA
JBC Coffee Roasters,Karamo Ethiopia,94,"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$19.00/12 ounces,June 2022,9,9,9,9,8," JBC Coffee Roasters  -  Blind Assessment: Crisply sweet-tart. Passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. Gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of lemon verbena and freesia.  -  Notes: Produced by Niguse Gemeda Mude largely from varieties of Arabica indigenous to Ethiopia, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information  -  The Bottom Line: A spice-toned, floral-driven natural-processed Ethiopia cup with bright fruit notes and juicy acidity.  - ",https://www.coffeereview.com/review/karamo-ethiopia/,NA,NA
Kakalove Cafe,Ethiopia Natural Shakisso Mormora 74112,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,54/76,NT $325/8 ounces,June 2022,9,9,9,9,9," Kakalove Cafe  -  Blind Assessment: Gently fruit-forward, sweetly savory. Dark chocolate, raspberry coulis, star jasmine, cedar, tangerine zest. Sweet-savory structure with fruity-bright acidity; plush, syrupy mouthfeel. Chocolaty and fruit-driven in the finish, with support from notes of bittersweet citrus.  -  Notes: Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions from trees of the indigenous 74112 selection of Arabica. Processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.  -  The Bottom Line: An engaging, cleanly natural-processed single-variety Ethiopia cup: bright, chocolaty, floral and fruity.   - ",https://www.coffeereview.com/review/ethiopia-natural-shakisso-mormora-74112/,NA,NA
Kakalove Cafe,Ethiopia Washed Shakisso Mormora 74112,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $325/8 ounces,June 2022,9,9,9,9,9," Kakalove Cafe  -  Blind Assessment: Delicate, richly floral-toned. Lavender, blood orange, cocoa nib, almond butter, sandalwood in aroma and cup. Balanced structure with fine, floral-toned acidity; silky-smooth, vibrant mouthfeel. The long, sweet finish centers around notes of cocoa nib, lavender and blood orange.  -  Notes: Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, from trees of the indigenous 74112 selection of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.  -  The Bottom Line: A complex, nuanced washed Ethiopia cup alive with spice-toned florals, richly bittersweet citrus, and distinct cocoa.  - ",https://www.coffeereview.com/review/ethiopia-washed-shakisso-mormora-74112/,NA,NA
Nostalgia Coffee Roasters,Classic Blend,93,"San Diego, California",Nicaragua; Guatemala,Medium-Light,54/70,$18.00/12 ounces,June 2022,9,8,8,9,8," Nostalgia Coffee Roasters  -  Blind Assessment: Crisply sweet, richly savory. Cocoa nib, Asian pear, caramel, freesia-like flowers, fresh-cut oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy-smooth mouthfeel. Quietly cocoa-toned finish with caramel undertones.  -  Notes: Produced by various smallholding farmers in Nicaragua and Guatemala from trees of the Caturra, Catuai, Bourbon, Catimor, Pacamara, Maracaturra, Pacas, and Typica varieties of Arabica, all processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Nostalgia Coffee Roasters is a woman-owned specialty coffee roaster founded by Taylor Fields in 2018 as a mobile café. Nostalgia is now focused on bringing exceptional coffee to folks around the world via its online store and wholesale program. Visit www.nostalgiacoffeeroasters.com for more information.   -  The Bottom Line: A friendly, accessible, balanced cup: richly cocoa-toned with crisp fruit and lush mouthfeel.  - ",https://www.coffeereview.com/review/classic-blend-3/,NA,NA
Simon Hsieh Aroma Roast Coffees,Tang Bohu Espresso Blend,95,"Taoyuan, Taiwan",Ethiopia; Kenya; Colombia; Costa Rica,Medium,45/70,NT $650/8 ounces,June 2022,9,NA,9,9,9," Simon Hsieh Aroma Roast Coffees  -  Blind Assessment: Evaluated as espresso. Deeply sweet-savory, chocolaty and fruit-forward. Lychee, chocolate fudge, pistachio brittle, plumeria, scorched cedar in aroma and small cup. Creamy-smooth mouthfeel; resonantly chocolaty finish with pleasing, slightly smoky aromatic wood undertones. In three parts milk, chocolate is further elevated, as are florals.  -  Notes: A blend of coffees from a variety of origins using a variety of processing methods, including an Ethiopia natural, a washed Kenya and Colombia, and a Costa Rica yellow honey, roasted for espresso applications. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.  -  The Bottom Line: A richly chocolaty, deeply aromatic, spice-toned espresso blend that’s equally exciting in straight shot and in milk.

  - ",https://www.coffeereview.com/review/tang-bohu-espresso-blend/,9,NA
Rusty Dog Coffee,Ethiopia Keramo Natural,93,"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$17.75/12 ounces,June 2022,9,8,9,9,8," Rusty Dog Coffee  -  Blind Assessment: Richly aromatic, deeply fruit-toned. Raspberry jam, almond nougat, lemon balm, cocoa nib, cedar in aroma and cup. Gently tart structure with pert acidity; plush, satiny mouthfeel. Crisp, fruity, cocoa-toned finish.  -  Notes: Produced by smallholding farmers surrounding the Keramo Daye Bensa Washing Station owned by brothers Asefa and Mulugeta Dukamo from local heirloom varieties of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit www.rustydogcoffee.com for more information.  -  The Bottom Line: A confident, fruit-forward, cocoa-toned Ethiopia natural cup with an impressively smooth mouthfeel.  - ",https://www.coffeereview.com/review/ethiopia-keramo-natural/,NA,NA
Rusty Dog Coffee,Costa Rica Los Torres Microlot Black Honey,93,"Madison, Wisconsin","Rivas District, Chirripo Region, Costa Rica",Medium-Light,59/77,$18.75/12 ounces,June 2022,9,8,9,9,8," Rusty Dog Coffee  -  Blind Assessment: Multi-layered, richly sweet. Dried plum, hazelnut butter, bergamot, magnolia, oak in aroma and cup. Sweet-tart structure with brisk acidity; full, satiny-smooth mouthfeel. Crisply nut-toned finish with undertones of bergamot.  -  Notes: Produced by the Urena family from trees of the Red and Yellow Catuaí, Caturra and Villa Sarchi varieties of Arabica, and processed by the black honey method, in which the skins are removed from the fruit but virtually all of the fruit flesh or mucilage is allowed to dry on the beans. Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit www.rustydogcoffee.com for more information.  -  The Bottom Line: A cleanly fruit-forward, invitingly floral Costa Rica cup processed by the black honey method.  - ",https://www.coffeereview.com/review/costa-rica-los-torres-microlot-black-honey/,NA,NA
Modern Times Coffee,Ethiopia Guracho Natural,93,"San Diego, California","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,60/78,$18.00/12 ounces,June 2022,9,NA,8,9,8," Modern Times Coffee  -  Blind Assessment: Evaluated as espresso. Delicately berry-toned, richly sweet. Blackberry coulis, cocoa nib, agave syrup, fresh-cut cedar, macadamia nut in aroma and small cup. Silky, viscous mouthfeel; the finish leads with notes of agave syrup and macadamia nut. Especially pretty in cappuccino format, where berry and cocoa notes balance rich aromatic cedar.  -  Notes: Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, largely from trees of distinctive indigenous landrace varieties of Arabica. Processed by the natural method (dried in the whole fruit). Modern Times is a well-loved, exuberantly inventive Point Loma, San Diego brewery that has long specialized in coffee-beer crossovers and overlaps. Visit www.moderntimescoffee.com for more information.  -  The Bottom Line: A quietly complex espresso, more a crescendo than a jolt in its easy going but confident profile.
  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/ethiopia-guracho-natural/,9,NA
modcup coffee,Fruit Bomb/Ethiopia Shantewene,93,"Jersey City, New Jersey","Sidama Region, south-central Ethiopia",Medium-Light,59/77,$25.00/8 ounces,June 2022,9,NA,8,9,8," modcup coffee  -  Blind Assessment: Evaluated as espresso. Aromatically intense, sweet-tart-savory. Concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. Creamy-smooth mouthfeel; savory, herbaceous, chocolaty finish. In three parts milk, savory notes usurp sweet, with inviting aloewood and oregano notes supported by dark chocolate and lychee undertones.  -  Notes: Produced by Faysel Abdosh from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. This lot was processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.  -  The Bottom Line: A strikingly composed Ethiopia anaerobic natural. Experimental processing seems to encourage a complex savory structure that pleasingly supports the up-front fruit.  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/fruit-bomb-ethiopia-shantewene/,9,NA
Paradise Roasters,Colombia Quindio Anaerobic Natural,94,"Minneapolis, Minnesota","Quindio Department, Colombia",Medium-Light,60/78,$30.00/12 ounces,June 2022,9,NA,8,9,9," Paradise Roasters  -  Blind Assessment: Evaluated as espresso. Brightly fruit-toned, deeply chocolaty, with savory undertones. Rambutan, sandalwood, kumquat, dark chocolate, freesia in aroma and small cup. Crisp, satiny mouthfeel; especially long, flavor-laden finish. In three parts milk, sandalwood notes frame the dark chocolate and tropical fruit throughlines.  -  Notes: Produced by smallholding farmers and processed by the natural anaerobic method (whole fruit is fermented in hermetically sealed vessels before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.   -  The Bottom Line: An unusual espresso profile, this anaerobic Colombia is fruit-forward with spicy floral and deep chocolate notes, especially inviting in the plush, tartly savory straight shot.  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/colombia-quindio-anaerobic-natural-2/,9,NA
PT's Coffee Roasting Co.,Colombia Tres Dragones Natural,94,"Topeka, Kansas","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,June 2022,9,NA,9,9,8," PT's Coffee Roasting Co.  -  Blind Assessment: Evaluated as espresso. Winey and musky, richly chocolaty. Dark chocolate, red wine barrel, musk, black sage, toasted walnut in aroma and small cup. 
Full, syrupy mouthfeel; winey, chocolaty finish. In cappuccino format, deeply aromatic, perfumed with musk-like florals supported by very rich chocolate notes.  -  Notes: Produced by Rigoberto and Rodrigo Herrera of Finca Potosi entirely of the Colombia variety of Arabica, and processed by a “hybrid natural” method, simply meaning the coffee was both fermented and dried in the whole fruit. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.   -  The Bottom Line: A fruit-forward Colombia, satiating in its herbaceous, savory depth and fruity lift, which play in harmony both in the straight shot and in cappuccino format.  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/colombia-tres-dragones-natural/,9,NA
GK Coffee,Colombia Finca Jardines del Eden Ice Fermentation Natural,94,"Yilan, Taiwan","Cauca Department, Colombia",Medium-Light,58/74,NT $500/100 grams,June 2022,9,NA,9,9,8," GK Coffee  -  Blind Assessment: Evaluated as espresso. Extremely sweet, intentionally fermenty, wine-like aroma. Red wine, salted caramel, gardenia, pomelo, hazelnut brittle in aroma and small cup. Plush, syrupy mouthfeel; crisply nut-toned and caramelly finish. In milk, this coffee is dessert-like in its impossibly deep sweetness.  -  Notes: Produced at Finca Jardines del Eden entirely of the Caturra variety of Arabica, and processed by an experimental variation on the fermented natural method that involves freezing the whole fruit for five days before drying. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected]   -  The Bottom Line: Designed for milk drinks, this very sweet, very rich-toned experimentally processed Colombia coffee is for fans of caramelly, nutty profiles with intentional wine-like ferment.  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/colombia-finca-jardines-del-eden-ice-fermentation-natural/,9,NA
Kakalove Cafe,Honduras Natural San Vicente Belarmino Contreras Pacas,94,"Chia-Yi, Taiwan","Santa Barbara Department, Honduras",Medium-Light,58/78,NT $275/8 ounces,June 2022,9,NA,9,9,8," Kakalove Cafe  -  Blind Assessment: Evaluated as espresso. Balanced, deep, richly floral- and fruit-toned. Hyacinth, mulberry, cocoa nib, almond butter, lemon-thyme in aroma and small cup. Crisp, syrupy mouthfeel; berry-driven, nutty finish. Harmonious and integrated in cappuccino-scaled milk, with berry and floral notes dancing at the top.  -  Notes: Produced by smallholding farmers entirely of the Pacas variety of Arabica, and processed by the natural method (dried in the whole fruit) at San Vicente Washing Station. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.   -  The Bottom Line: An elegant, bright, balanced Pacas natural espresso that is as compelling in the straight shot as it is in milk. A unique Honduras profile.  -  This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention  - ",https://www.coffeereview.com/review/honduras-natural-san-vicente-belarmino-contreras-pacas/,9,NA
