,score,roaster,title,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,blind_assessment,notes,bottom_line
0,96,Kakalove Cafe,Kenya Washed Kiambu Uklili AB Espresso,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,54/72,NT $400/8 ounces,"Evaluated as espresso. Richly sweet-tart, high-toned, deeply aromatic. Dried pomegranate, honeysuckle, dark chocolate, amber, pink grapefruit zest in aroma and small cup. Plush, voluptuous mouthfeel; resonant, flavor-laden finish. Superb in cappuccino-scaled milk: chocolaty and floral-toned.","Produced at Ukili Farm from the admired SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit"," Integrated, balanced, deeply rich, this single-origin Kenya espresso is juicy and bright in the straight shot while impressively chocolaty and floral in milk."
0,95,JBC Coffee Roasters,Karatina Kenya,"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,58/76,$23.00/12 ounces,"Berry-driven, complexly sweet-savory. Mulberry, praline, cocoa nib, lilac, tangerine zest in aroma and cup. Brightly sweet-savory structure with juicy, vibrant acidity; full, syrupy-smooth mouthfeel. Resonant, lingering, berry-toned finish, chocolaty and floral.","Produced by smallholding farmers, from trees of the SL28, SL34, Batian and Ruiru varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," An elegantly powerful, classically composed Kenya cup with rich aromatics and a range of lively fruit, flowers and chocolate on the palate."
0,94,JBC Coffee Roasters,Karamo Ethiopia,"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$19.00/12 ounces,"Crisply sweet-tart. Passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. Gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of lemon verbena and freesia.","Produced by Niguse Gemeda Mude largely from varieties of Arabica indigenous to Ethiopia, and processed by the natural method (dried in the whole fruit). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit"," A spice-toned, floral-driven natural-processed Ethiopia cup with bright fruit notes and juicy acidity."
0,95,Kakalove Cafe,Ethiopia Natural Shakisso Mormora 74112,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,54/76,NT $325/8 ounces,"Gently fruit-forward, sweetly savory. Dark chocolate, raspberry coulis, star jasmine, cedar, tangerine zest. Sweet-savory structure with fruity-bright acidity; plush, syrupy mouthfeel. Chocolaty and fruit-driven in the finish, with support from notes of bittersweet citrus.","Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions from trees of the indigenous 74112 selection of Arabica. Processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit"," An engaging, cleanly natural-processed single-variety Ethiopia cup: bright, chocolaty, floral and fruity. "
0,95,Kakalove Cafe,Ethiopia Washed Shakisso Mormora 74112,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $325/8 ounces,"Delicate, richly floral-toned. Lavender, blood orange, cocoa nib, almond butter, sandalwood in aroma and cup. Balanced structure with fine, floral-toned acidity; silky-smooth, vibrant mouthfeel. The long, sweet finish centers around notes of cocoa nib, lavender and blood orange.","Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, from trees of the indigenous 74112 selection of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit"," A complex, nuanced washed Ethiopia cup alive with spice-toned florals, richly bittersweet citrus, and distinct cocoa."
0,93,Nostalgia Coffee Roasters,Classic Blend,"San Diego, California",Nicaragua; Guatemala,Medium-Light,54/70,$18.00/12 ounces,"Crisply sweet, richly savory. Cocoa nib, Asian pear, caramel, freesia-like flowers, fresh-cut oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy-smooth mouthfeel. Quietly cocoa-toned finish with caramel undertones.","Produced by various smallholding farmers in Nicaragua and Guatemala from trees of the Caturra, Catuai, Bourbon, Catimor, Pacamara, Maracaturra, Pacas, and Typica varieties of Arabica, all processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Nostalgia Coffee Roasters is a woman-owned specialty coffee roaster founded by Taylor Fields in 2018 as a mobile café. Nostalgia is now focused on bringing exceptional coffee to folks around the world via its online store and wholesale program. Visit"," A friendly, accessible, balanced cup: richly cocoa-toned with crisp fruit and lush mouthfeel."
0,95,Simon Hsieh Aroma Roast Coffees,Tang Bohu Espresso Blend,"Taoyuan, Taiwan",Ethiopia; Kenya; Colombia; Costa Rica,Medium,45/70,NT $650/8 ounces,"Evaluated as espresso. Deeply sweet-savory, chocolaty and fruit-forward. Lychee, chocolate fudge, pistachio brittle, plumeria, scorched cedar in aroma and small cup. Creamy-smooth mouthfeel; resonantly chocolaty finish with pleasing, slightly smoky aromatic wood undertones. In three parts milk, chocolate is further elevated, as are florals.","A blend of coffees from a variety of origins using a variety of processing methods, including an Ethiopia natural, a washed Kenya and Colombia, and a Costa Rica yellow honey, roasted for espresso applications. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit"," A richly chocolaty, deeply aromatic, spice-toned espresso blend that’s equally exciting in straight shot and in milk.

"
0,93,Rusty Dog Coffee,Ethiopia Keramo Natural,"Madison, Wisconsin","Sidama growing region, Ethiopia",Medium-Light,60/78,$17.75/12 ounces,"Richly aromatic, deeply fruit-toned. Raspberry jam, almond nougat, lemon balm, cocoa nib, cedar in aroma and cup. Gently tart structure with pert acidity; plush, satiny mouthfeel. Crisp, fruity, cocoa-toned finish.","Produced by smallholding farmers surrounding the Keramo Daye Bensa Washing Station owned by brothers Asefa and Mulugeta Dukamo from local heirloom varieties of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit "," A confident, fruit-forward, cocoa-toned Ethiopia natural cup with an impressively smooth mouthfeel."
0,93,Rusty Dog Coffee,Costa Rica Los Torres Microlot Black Honey,"Madison, Wisconsin","Rivas District, Chirripo Region, Costa Rica",Medium-Light,59/77,$18.75/12 ounces,"Multi-layered, richly sweet. Dried plum, hazelnut butter, bergamot, magnolia, oak in aroma and cup. Sweet-tart structure with brisk acidity; full, satiny-smooth mouthfeel. Crisply nut-toned finish with undertones of bergamot.","Produced by the Urena family from trees of the Red and Yellow Catuaí, Caturra and Villa Sarchi varieties of Arabica, and processed by the black honey method, in which the skins are removed from the fruit but virtually all of the fruit flesh or mucilage is allowed to dry on the beans. Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit "," A cleanly fruit-forward, invitingly floral Costa Rica cup processed by the black honey method."
0,93,Modern Times Coffee,Ethiopia Guracho Natural,"San Diego, California","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,60/78,$18.00/12 ounces,"Evaluated as espresso. Delicately berry-toned, richly sweet. Blackberry coulis, cocoa nib, agave syrup, fresh-cut cedar, macadamia nut in aroma and small cup. Silky, viscous mouthfeel; the finish leads with notes of agave syrup and macadamia nut. Especially pretty in cappuccino format, where berry and cocoa notes balance rich aromatic cedar.","Produced in the Guji growing region, an area nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, largely from trees of distinctive indigenous landrace varieties of Arabica. Processed by the natural method (dried in the whole fruit). Modern Times is a well-loved, exuberantly inventive Point Loma, San Diego brewery that has long specialized in coffee-beer crossovers and overlaps. Visit www.moderntimescoffee.com for more information."," A quietly complex espresso, more a crescendo than a jolt in its easy going but confident profile.
"
0,93,modcup coffee,Fruit Bomb/Ethiopia Shantewene,"Jersey City, New Jersey","Sidama Region, south-central Ethiopia",Medium-Light,59/77,$25.00/8 ounces,"Evaluated as espresso. Aromatically intense, sweet-tart-savory. Concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. Creamy-smooth mouthfeel; savory, herbaceous, chocolaty finish. In three parts milk, savory notes usurp sweet, with inviting aloewood and oregano notes supported by dark chocolate and lychee undertones.","Produced by Faysel Abdosh from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. This lot was processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit", A strikingly composed Ethiopia anaerobic natural. Experimental processing seems to encourage a complex savory structure that pleasingly supports the up-front fruit.
0,94,Paradise Roasters,Colombia Quindio Anaerobic Natural,"Minneapolis, Minnesota","Quindio Department, Colombia",Medium-Light,60/78,$30.00/12 ounces,"Evaluated as espresso. Brightly fruit-toned, deeply chocolaty, with savory undertones. Rambutan, sandalwood, kumquat, dark chocolate, freesia in aroma and small cup. Crisp, satiny mouthfeel; especially long, flavor-laden finish. In three parts milk, sandalwood notes frame the dark chocolate and tropical fruit throughlines.","Produced by smallholding farmers and processed by the natural anaerobic method (whole fruit is fermented in hermetically sealed vessels before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit"," An unusual espresso profile, this anaerobic Colombia is fruit-forward with spicy floral and deep chocolate notes, especially inviting in the plush, tartly savory straight shot."
0,94,PT's Coffee Roasting Co.,Colombia Tres Dragones Natural,"Topeka, Kansas","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,"Evaluated as espresso. Winey and musky, richly chocolaty. Dark chocolate, red wine barrel, musk, black sage, toasted walnut in aroma and small cup. 
Full, syrupy mouthfeel; winey, chocolaty finish. In cappuccino format, deeply aromatic, perfumed with musk-like florals supported by very rich chocolate notes.","Produced by Rigoberto and Rodrigo Herrera of Finca Potosi entirely of the Colombia variety of Arabica, and processed by a “hybrid natural” method, simply meaning the coffee was both fermented and dried in the whole fruit. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit"," A fruit-forward Colombia, satiating in its herbaceous, savory depth and fruity lift, which play in harmony both in the straight shot and in cappuccino format."
0,94,GK Coffee,Colombia Finca Jardines del Eden Ice Fermentation Natural,"Yilan, Taiwan","Cauca Department, Colombia",Medium-Light,58/74,NT $500/100 grams,"Evaluated as espresso. Extremely sweet, intentionally fermenty, wine-like aroma. Red wine, salted caramel, gardenia, pomelo, hazelnut brittle in aroma and small cup. Plush, syrupy mouthfeel; crisply nut-toned and caramelly finish. In milk, this coffee is dessert-like in its impossibly deep sweetness.","Produced at Finca Jardines del Eden entirely of the Caturra variety of Arabica, and processed by an experimental variation on the fermented natural method that involves freezing the whole fruit for five days before drying. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit"," Designed for milk drinks, this very sweet, very rich-toned experimentally processed Colombia coffee is for fans of caramelly, nutty profiles with intentional wine-like ferment."
0,94,Kakalove Cafe,Honduras Natural San Vicente Belarmino Contreras Pacas,"Chia-Yi, Taiwan","Santa Barbara Department, Honduras",Medium-Light,58/78,NT $275/8 ounces,"Evaluated as espresso. Balanced, deep, richly floral- and fruit-toned. Hyacinth, mulberry, cocoa nib, almond butter, lemon-thyme in aroma and small cup. Crisp, syrupy mouthfeel; berry-driven, nutty finish. Harmonious and integrated in cappuccino-scaled milk, with berry and floral notes dancing at the top.","Produced by smallholding farmers entirely of the Pacas variety of Arabica, and processed by the natural method (dried in the whole fruit) at San Vicente Washing Station. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit"," An elegant, bright, balanced Pacas natural espresso that is as compelling in the straight shot as it is in milk. A unique Honduras profile."
0,95,Simon Hsieh Aroma Roast Coffees,Chasing Horizon Natural Espresso,"Taoyuan, Taiwan",Ethiopia,Medium,48/64,NT $800/8 ounces,"Evaluated as espresso. Decadently floral-toned with fruit underpinnings. Plumeria, black cherry, chocolate fudge, dark caramel, singed cedar in aroma and small cup. Creamy-smooth mouthfeel; crisply chocolaty, distinctly floral finish. ","A blend of three natural-processed Ethiopia coffees roasted for espresso. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit"," A darker-roasted natural-processed blend of three Ethiopian coffees roasted for espresso. This blend is even more floral than fruity, and that’s saying something, given that it is very fruity!"
0,95,Barrington Coffee Roasting,Supernatural,"Lee, Massachusetts","Sidama Region, south-central Ethiopia",Medium-Light,56/74,$18.45/12 ounces,"Evaluated as espresso. Complex, richly tart, sweetly herbaceous. Watermelon candy, sassafras, star jasmine, dark chocolate, hint of eucalyptus in aroma and small cup. Viscous, syrupy mouthfeel; crisp, sweetly herbal finish. In cappuccino format, balanced, bright, deep, juicy and chocolaty.","Produced by smallholding farmers around Durato Bombe Farm under the direction of Asefa and Mulugeta Dukamo largely from local landrace varieties of Arabica, and processed by the natural method (dried in the whole fruit). Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast. Visit"," This is a vertical coffee, from a launchpad of dark chocolate notes straight up through candy-like fruit and heady florals — call it a contemplative’s desert-island espresso."
0,95,Felala Coffee Lab,Ethiopia Alemaza Natural SOE,"Taipei, Taiwan","Sidama Region, south-central Ethiopia",Medium-Light,58/77,NT $360/8 ounces,"Evaluated as espresso. Juicy, richly aromatic, sweetly tart. Dark chocolate, pomegranate, sandalwood, lilac, blood orange zest in aroma and small cup. Syrupy-smooth mouthfeel; long, flavor-saturated finish. High-toned and chocolaty in three parts milk, supported by elegant floral and rich aromatic wood notes.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in their respective regions. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Felala Coffee Lab is an experimental roastery and coffee shop specializing in nano-lot coffees. Visit "," A strikingly composed natural-processed single-origin espresso with high-toned fruit, spicy-sweet florals, deep chocolate notes, and a pleasing herbaceous throughline."
0,95,Hula Daddy Kona Coffee,Kona Natural Espresso,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,57/77,$62.95/8 ounces,"Evaluated as espresso. Richly chocolaty, sweetly nutty, subtly fruity. Nutella, dried red currant, magnolia, pink grapefruit zest, rosewood in aroma and small cup. Crisp, syrupy mouthfeel; the dessert-like finish centers around notes of Nutella and magnolia. In three parts milk, plush, flavor-saturated and lingering.","Produced by Karen and Lee Patterson, of Hula Daddy Farm, entirely of the Kona Typica variety of Arabica, and processed by the natural anaerobic method (whole fruit is fermented in hermetically sealed vessels before drying) with the addition of wine yeasts during fermentation. Hula Daddy is a boutique coffee producer with farms at the 1,400- and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. Visit"," A Kona on steroids: Hula Daddy is just beginning to roast for espresso applications, and this natural Kona, grown on the company’s higher-altitude farm, impressively captures the classic potential of Kona Typica in espresso format."
0,95,modcup coffee,Colombia Tres Dragones,"Jersey City, New Jersey","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/76,$22.50/10 ounces,"Richly sweet-savory, fruit-forward, juicy. Dried pineapple, dark chocolate, wine barrel, magnolia, hop flowers in aroma and cup. Richly sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. The fruit-driven finish is complicated by notes of wine barrel and magnolia. ","Produced by Rigoberto and Rodrigo Herrera of Finca Potosi entirely of the Colombia variety of Arabica and processed by the natural method (dried in the whole fruit). modcup coffee, founded in 2013, focuses on fresh roasting and distinctive natural-processed coffees. Visit"," A sweetly fermenty fruit bomb with both vibrantly bright and savory-deep impulses, juicy and complex."
0,94,Paradise Roasters,Colombia Quindio Anaerobic Natural,"Minneapolis, Minnesota","Quindio Department, Colombia",Medium-Light,61/79,$30.00/12 ounces,"Richly fruit and spice-toned. Dried elderberry, clove, agave syrup, marjoram, sandalwood in aroma and cup. Sweet-savory structure with vibrant acidity; syrupy-smooth mouthfeel. The resonant finish leads with notes of elderberry and sandalwood.
","Produced by smallholding farmers and processed by the natural anaerobic method ((whole fruit is fermented in hermetically sealed vessels before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit"," A deeply satisfying, savory-sweet Colombia anaerobic with wide-ranging aromatics and dried fruit and warming spices on the palate."
0,94,Paradise Roasters,Colombia Pink Bourbon,"Minneapolis, Minnesota","Pitalito, Huila Department, Colombia",Medium-Light,60/77,$19.00/6 ounces,"Complex, nuanced, high-toned. Wild raspberry, honeysuckle, cocoa nib, tangerine zest, honey in aroma and cup. Sweetly tart with juicy-bright acidity; full, satiny-smooth mouthfeel. The inviting finish leads with notes of cocoa nib and honey.","Produced by Carlos Ramon Diaz of Finca La Esperanza entirely of the Pink Bourbon variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit"," A focused, complex Colombia Pink Bourbon with top notes of wild berry and cocoa nib and a throughline of spicy-sweet florals and citrus zest."
0,93,Mostra Coffee,Philippine Farmer Milled Lot,"San Diego, California","Atok, Benguet, The Philippines",Medium,48/62,$26.00/14 ounces,"Spice-toned, deeply chocolaty. Dark chocolate, baking spices, cashew butter, lily, molasses in aroma and cup. Crisply sweet with gentle, round acidity; plush, creamy mouthfeel. Quiet, nutty finish supported by notes of baking spices.","Produced by a small community of coffee growers at Sitio Naguey and processed by the washed method at Kalsada Mill. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com."," A balanced, rich-toned, darker roasted coffee from smallholding farmers in The Philippines — chocolaty, floral, and driven by notes of baking spices."
